game_num,season_type,opponent,home_away,win,team_pts,opp_pts,point_diff,wins,losses,ortg,drtg,pace,ts_pct,off_efg_pct,off_tov_pct,off_orb_pct,def_efg_pct,def_tov_pct,ftr,3par,team_ast_pct,team_trb_pct,jokic_pts,jokic_ast,jokic_trb,jokic_tov,jokic_plus_minus,jokic_efg_pct,jokic_fg_pct,jokic_3p_pct,jokic_ft_pct,jokic_fga,jokic_fg,jokic_mp,jokic_gmsc,jokic_stl,jokic_blk,jokic_pf,jokic_3p,jokic_3pa,triple_double
55,Regular,Minnesota Timberwolves,Home,1,146,112,34,38,17,138.9,106.6,105.1,0.711,0.694,9.7,17.6,0.529,15.0,0.237,0.29,75.9,55.0,15.0,8.0,5.0,0.0,-4.0,0.353,0.353,0.0,0.75,17.0,6.0,38.97,11.3,0.0,1.0,4.0,0.0,6.0,0
56,Regular,Orlando Magic,Away,0,104,115,-11,38,18,104.8,115.9,99.2,0.55,0.524,14.5,17.9,0.531,8.7,0.286,0.393,61.5,45.3,21.0,15.0,19.0,3.0,23.0,1.0,1.0,0.333,0.5,10.0,10.0,31.38,314.0,1.0,0.0,3.0,0.0,0.0,1
57,Regular,Charlotte Hornets,Away,1,119,105,14,39,18,114.0,100.6,104.4,0.559,0.53,11.6,30.4,0.518,12.5,0.172,0.232,70.0,58.0,29.0,14.0,15.0,2.0,24.0,735.0,0.706,0.333,0.8,17.0,12.0,34.77,36.1,2.0,1.0,4.0,1.0,3.0,1
58,Regular,Miami Heat,Away,1,112,108,4,40,18,122.5,118.1,91.5,0.678,0.651,13.6,19.4,0.506,8.4,0.197,0.368,77.3,53.4,32.0,16.0,16.0,2.0,20.0,0.583,0.542,0.333,1.0,24.0,13.0,36.82,387.0,4.0,1.0,3.0,2.0,6.0,1
59,Regular,Dallas Mavericks,Home,1,118,109,9,41,18,122.4,113.1,96.4,0.651,0.637,12.5,19.4,0.548,11.5,0.179,0.369,70.8,58.1,14.0,11.0,14.0,2.0,37.0,0.556,0.556,0.333,1.0,9.0,5.0,32.32,225.0,3.0,1.0,3.0,0.0,0.0,1
60,Regular,Cleveland Cavaliers,Away,1,115,109,6,42,18,125.1,118.6,91.9,0.611,0.565,14.5,39.1,0.511,10.0,0.274,0.429,76.9,53.4,18.0,7.0,11.0,4.0,12.0,0.4,0.4,0.0,1.0,15.0,6.0,38.0,157.0,1.0,2.0,4.0,0.0,3.0,0
61,Regular,Memphis Grizzlies,Away,0,94,112,-18,42,19,96.4,114.8,97.5,0.494,0.466,13.6,22.0,0.553,10.9,0.157,0.416,61.1,49.0,35.0,7.0,10.0,3.0,16.0,0.66,0.64,0.2,1.0,25.0,16.0,38.93,299.0,0.0,1.0,1.0,1.0,5.0,0
62,Regular,Los Angeles Clippers,Home,1,134,124,10,43,19,121.8,112.7,99.6,0.611,0.578,12.7,25.6,0.55,11.2,0.323,0.406,71.4,56.8,25.0,5.0,16.0,7.0,-13.0,0.556,0.444,0.571,0.714,18.0,8.0,44.27,165.0,0.0,0.0,2.0,4.0,7.0,0
63,Regular,Houston Rockets,Away,1,133,112,21,44,19,133.2,112.2,99.9,0.671,0.663,10.0,26.8,0.541,11.4,0.174,0.402,75.5,51.8,32.0,11.0,12.0,0.0,9.0,0.579,0.579,0.333,1.0,19.0,11.0,38.75,376.0,2.0,0.0,1.0,0.0,0.0,1
64,Regular,Memphis Grizzlies,Home,1,113,97,16,45,19,118.8,102.0,95.1,0.561,0.506,9.0,30.2,0.435,10.1,0.356,0.356,70.0,57.0,26.0,8.0,6.0,3.0,6.0,857.0,857.0,0.333,1.0,14.0,12.0,32.0,28.2,1.0,2.0,1.0,0.0,0.0,0
65,Regular,Toronto Raptors,Home,1,118,113,5,46,19,122.7,117.5,96.2,0.614,0.576,12.7,28.6,0.558,13.7,0.267,0.384,69.8,50.0,35.0,12.0,17.0,2.0,13.0,0.558,0.538,0.333,1.0,26.0,14.0,38.1,425.0,6.0,2.0,3.0,1.0,3.0,1
66,Regular,Chicago Bulls,Home,0,96,117,-21,46,20,101.7,123.9,94.4,0.507,0.506,10.4,21.2,0.562,8.5,0.17,0.455,70.3,46.8,12.0,6.0,14.0,4.0,10.0,625.0,625.0,0.333,667.0,8.0,5.0,37.62,14.2,1.0,0.0,1.0,0.0,0.0,0
67,Regular,San Antonio Spurs,Away,0,120,128,-8,46,21,115.8,123.5,103.7,0.607,0.561,12.4,17.8,0.612,15.8,0.222,0.389,72.7,39.8,31.0,5.0,7.0,3.0,7.0,0.711,0.684,0.333,1.0,19.0,13.0,30.9,269.0,0.0,2.0,1.0,1.0,3.0,0
68,Regular,Brooklyn Nets,Home,0,120,122,-2,46,22,123.1,125.2,97.5,0.597,0.567,13.0,38.5,0.601,9.6,0.267,0.344,60.0,63.6,16.0,7.0,11.0,3.0,10.0,0.375,0.375,0.0,0.8,16.0,6.0,38.52,148.0,2.0,0.0,1.0,0.0,2.0,0
69,Regular,Toronto Raptors,Away,0,110,125,-15,46,23,115.3,131.0,95.4,0.632,0.592,13.9,11.8,0.591,9.9,0.329,0.329,69.0,42.1,35.0,2.0,16.0,3.0,8.0,705.0,636.0,0.75,667.0,22.0,14.0,37.67,268.0,0.0,0.0,3.0,3.0,4.0,0
70,Regular,Detroit Pistons,Away,1,119,100,19,47,23,126.1,105.9,94.4,0.595,0.573,9.1,35.1,0.529,15.5,0.281,0.27,61.7,56.0,30.0,11.0,14.0,1.0,30.0,0.522,0.522,0.0,857.0,23.0,12.0,39.23,306.0,1.0,0.0,1.0,0.0,1.0,1
71,Regular,New York Knicks,Away,0,110,116,-6,47,24,118.7,125.1,92.7,0.607,0.583,12.5,17.6,0.548,11.2,0.179,0.393,69.8,43.4,27.0,9.0,13.0,3.0,9.0,0.607,0.571,0.333,1.0,18.0,11.0,,250.0,1.0,1.0,2.0,1.0,3.0,0
72,Regular,Brooklyn Nets,Away,1,108,102,6,48,24,117.0,110.5,92.3,0.63,0.6,16.5,20.0,0.537,11.9,0.163,0.288,73.8,54.8,29.0,8.0,11.0,4.0,13.0,0.639,0.611,0.5,857.0,18.0,11.0,30.85,294.0,3.0,1.0,4.0,1.0,2.0,0
73,Regular,Washington Wizards,Away,1,118,104,14,49,24,132.9,117.1,88.8,0.64,0.596,9.8,28.9,0.529,6.9,0.253,0.386,66.7,52.6,22.0,10.0,9.0,1.0,2.0,0.594,0.563,0.2,1.0,16.0,9.0,41.53,250.0,2.0,1.0,2.0,1.0,5.0,0
74,Regular,Milwaukee Bucks,Home,1,129,106,23,50,24,124.9,102.6,103.3,0.637,0.612,10.6,16.3,0.494,9.3,0.315,0.404,59.6,54.5,32.0,5.0,10.0,4.0,-9.0,0.458,0.458,0.0,769.0,24.0,11.0,36.97,23.2,2.0,1.0,2.0,0.0,3.0,0
75,Regular,Philadelphia 76ers,Home,1,116,111,5,51,24,121.8,116.5,95.2,0.613,0.571,11.2,25.6,0.528,10.0,0.259,0.376,79.1,51.2,26.0,16.0,18.0,3.0,37.0,0.639,0.611,0.5,0.6,18.0,11.0,34.63,324.0,1.0,0.0,2.0,1.0,2.0,1
76,Regular,Pelicanos de Nova Orleans,Home,0,88,107,-19,51,25,96.5,117.4,91.2,0.468,0.425,9.6,22.4,0.556,11.8,0.4,0.35,65.6,46.5,42.0,6.0,16.0,4.0,5.0,0.578,0.563,0.167,833.0,32.0,18.0,37.58,346.0,1.0,2.0,2.0,1.0,6.0,0
