game_num,opponent,home_away,team_pts,opp_pts,wins,losses,win,point_diff,season_type,ORtg,DRtg,Pace,TS_pct,off_eFG_pct,off_TOV_pct,off_ORB_pct,def_eFG_pct,def_TOV_pct,FTr,3PAr,team_AST_pct,team_TRB_pct,jokic_pts,jokic_ast,jokic_trb,jokic_tov,jokic_plus_minus,jokic_eFG_pct,jokic_FG_pct,jokic_3P_pct,jokic_FT_pct,jokic_FGA,jokic_FG,jokic_mp,jokic_GmSc,jokic_stl,jokic_blk,jokic_pf,jokic_3p,jokic_3pa,triple_double
30,Memphis Grizzlies,Home,105,91,19,11,1,14,Regular,1054.0,914.0,996.0,0.525,0.506,145.0,27.1,0.475,15.1,0.281,0.303,700.0,533.0,31.0,7.0,11.0,0.0,29.0,765.0,0.706,1.0,1.0,17.0,12.0,34:09,357.0,3.0,2.0,4.0,2.0,2.0,0.0
31,Portland Trail Blazers,Home,120,107,20,11,1,13,Regular,1229.0,1096.0,977.0,649.0,0.642,10.6,11.8,0.5,125.0,0.321,0.259,660.0,469.0,18.0,9.0,10.0,3.0,12.0,0.571,0.571,0.0,1.0,14.0,8.0,35:38,178.0,1.0,1.0,6.0,0.0,2.0,0.0
32,Phoenix Suns,Home,128,125,21,11,1,3,Regular,1206.0,1178.0,961.0,0.587,0.548,10.7,26.1,0.569,11.7,0.362,0.383,644.0,51.1,26.0,8.0,14.0,3.0,21.0,0.333,0.333,0.0,1.0,12.0,4.0,39:03,268.0,0.0,0.0,2.0,0.0,2.0,0.0
33,Sacramento Kings,Away,113,106,22,11,1,7,Regular,1178.0,1105.0,959.0,0.593,0.552,12.0,244.0,0.549,15.0,0.244,0.43,829.0,506.0,26.0,10.0,14.0,3.0,25.0,1045.0,1.0,1.0,1.0,11.0,11.0,29:58,319.0,0.0,2.0,1.0,1.0,1.0,1.0
34,Sacramento Kings,Away,126,127,22,12,0,-1,Regular,1278.0,1288.0,986.0,0.678,647.0,147.0,23.3,0.607,10.7,0.212,0.318,633.0,500.0,19.0,7.0,10.0,7.0,-19.0,0.95,0.9,1.0,,10.0,9.0,31:32,18.2,1.0,1.0,2.0,1.0,1.0,0.0
35,Miami Heat,Home,124,119,23,12,1,5,Regular,1241.0,119.1,999.0,0.724,0.704,189.0,167.0,0.529,13.0,0.289,0.368,756.0,500.0,13.0,6.0,11.0,3.0,27.0,857.0,857.0,,1.0,7.0,6.0,27:30,159.0,1.0,1.0,2.0,0.0,0.0,0.0
36,Boston Celtics,Home,123,111,24,12,1,12,Regular,122.1,1102.0,1007.0,0.708,677.0,164.0,3.1,0.511,11.6,0.228,0.38,689.0,46.1,34.0,10.0,9.0,4.0,4.0,875.0,813.0,1.0,857.0,16.0,13.0,38:25,360.0,2.0,1.0,2.0,2.0,2.0,0.0
37,Minnesota Timberwolves,Away,111,124,24,13,0,-13,Regular,1162.0,1298.0,956.0,0.556,0.522,13.1,375.0,0.592,10.8,0.22,0.319,643.0,523.0,29.0,8.0,4.0,2.0,-4.0,0.684,0.684,0.0,0.75,19.0,13.0,36:51,27.1,3.0,0.0,3.0,0.0,1.0,0.0
38,Los Angeles Clippers,Home,122,91,25,13,1,31,Regular,1229.0,917.0,993.0,0.621,0.584,10.9,23.3,0.401,7.3,0.236,0.404,622.0,582.0,4.0,16.0,7.0,2.0,16.0,667.0,667.0,,,3.0,2.0,24:37,159.0,0.0,5.0,4.0,0.0,0.0,0.0
39,Cleveland Cavaliers,Home,121,108,26,13,1,13,Regular,1346.0,1201.0,899.0,0.664,636.0,13.3,37.1,0.511,6.4,0.284,0.432,65.1,55.1,27.0,6.0,11.0,6.0,-21.0,944.0,889.0,1.0,833.0,9.0,8.0,30:28,248.0,1.0,0.0,3.0,1.0,1.0,0.0
40,Los Angeles Lakers,Home,122,109,27,13,1,13,Regular,1156.0,1033.0,1056.0,0.573,0.54,13.8,298.0,0.484,11.9,0.172,0.424,630.0,556.0,27.0,14.0,10.0,2.0,12.0,676.0,647.0,0.5,1.0,17.0,11.0,32:11,306.0,0.0,1.0,4.0,1.0,2.0,1.0
41,Phoenix Suns,Home,126,97,28,13,1,29,Regular,1296.0,997.0,973.0,669.0,0.653,105.0,194.0,0.483,17.2,0.247,0.4,625.0,463.0,25.0,9.0,12.0,7.0,10.0,923.0,923.0,,0.5,13.0,12.0,33:05,259.0,2.0,1.0,3.0,0.0,0.0,0.0
42,Los Angeles Clippers,Away,115,103,29,13,1,12,Regular,1244.0,1114.0,924.0,0.618,0.585,10.6,238.0,0.529,11.4,0.305,0.402,585.0,500.0,25.0,3.0,19.0,4.0,1.0,0.55,0.55,0.0,0.75,20.0,11.0,38:00,237.0,1.0,1.0,3.0,0.0,2.0,0.0
43,Orlando Magic,Home,119,116,30,13,1,3,Regular,1199.0,1168.0,993.0,0.611,0.612,14.1,293.0,0.53,11.6,0.213,0.438,667.0,513.0,34.0,9.0,12.0,4.0,1.0,0.682,636.0,0.5,1.0,22.0,14.0,38:16,305.0,0.0,0.0,1.0,2.0,4.0,0.0
44,Portland Trail Blazers,Home,122,113,31,13,1,9,Regular,1233.0,1142.0,989.0,0.608,0.563,10.7,26.8,0.536,12.1,0.318,0.364,72.7,54.5,42.0,8.0,12.0,0.0,20.0,0.75,0.75,,857.0,20.0,15.0,36:05,466.0,2.0,2.0,2.0,0.0,0.0,0.0
45,Minnesota Timberwolves,Home,122,118,32,13,1,4,Regular,121.3,117.3,100.6,0.616,0.576,13.9,25.0,0.593,16.9,0.376,0.247,60.0,48.6,31.0,10.0,13.0,1.0,9.0,763.0,0.684,0.75,1.0,19.0,13.0,37:01,33.1,0.0,1.0,3.0,3.0,4.0,1.0
46,Indiana Pacers,Home,134,111,33,13,1,23,Regular,133.8,110.8,100.2,0.709,0.699,16.0,34.3,0.488,17.3,0.313,0.337,74.5,49.4,31.0,3.0,11.0,7.0,-23.0,0.778,0.722,667.0,1.0,18.0,13.0,27:29,23.2,0.0,0.0,1.0,2.0,3.0,0.0
47,Oklahoma City Thunder,Home,99,101,33,14,0,-2,Regular,109.4,111.6,90.5,0.513,0.5,8.5,21.7,0.489,7.7,0.402,0.341,61.1,45.7,26.0,7.0,16.0,3.0,2.0,0.5,0.5,0.0,625.0,16.0,8.0,36:40,25.1,2.0,0.0,3.0,0.0,1.0,0.0
48,Pelicanos de Nova Orleans,Away,99,98,34,14,1,1,Regular,109.7,108.6,90.2,0.577,0.556,12.3,19.4,0.476,14.6,0.163,0.413,69.2,44.2,25.0,12.0,16.0,3.0,9.0,0.42,0.4,0.167,0.8,25.0,10.0,39:31,257.0,3.0,2.0,1.0,1.0,6.0,1.0
49,Milwaukee Bucks,Away,99,107,34,15,0,-8,Regular,93.9,101.5,105.4,0.476,0.448,15.4,26.3,0.558,20.3,0.165,0.351,55.3,51.0,,,,,,,,,,,,Inativo,,,,,,,0.0
50,Philadelphia 76ers,Away,119,126,34,16,0,-7,Regular,123.8,131.1,96.1,0.663,0.63,13.5,18.2,0.618,9.9,0.247,0.42,63.6,48.0,27.0,12.0,22.0,4.0,20.0,0.719,0.688,1.0,1.0,16.0,11.0,38:16,352.0,1.0,2.0,3.0,1.0,1.0,1.0
51,Pelicanos de Nova Orleans,Home,122,113,35,16,1,9,Regular,119.9,111.1,101.7,0.625,0.586,15.6,26.3,0.541,13.5,0.276,0.414,76.7,55.0,29.0,7.0,8.0,2.0,-5.0,625.0,0.6,0.333,0.8,20.0,12.0,34:14,267.0,2.0,0.0,1.0,1.0,3.0,0.0
52,Golden State Warriors,Home,134,117,36,16,1,17,Regular,132.3,115.5,101.3,0.675,0.656,11.6,17.9,0.618,15.4,0.233,0.389,68.6,47.5,24.0,9.0,13.0,6.0,10.0,0.5,0.45,0.333,1.0,20.0,9.0,36:23,20.3,0.0,3.0,2.0,2.0,6.0,0.0
53,Atlanta Hawks,Home,128,108,37,16,1,20,Regular,124.6,105.1,102.7,0.617,0.584,11.1,26.7,0.516,14.0,0.211,0.4,66.7,52.7,23.0,7.0,8.0,1.0,-7.0,0.559,0.529,1.0,0.8,17.0,9.0,29:45,236.0,3.0,0.0,2.0,1.0,1.0,0.0
54,Minnesota Timberwolves,Away,98,128,37,17,0,-30,Regular,95.0,124.1,103.2,0.579,0.521,20.6,9.4,0.609,9.9,0.437,0.352,55.9,52.1,29.0,8.0,12.0,5.0,-16.0,0.56,0.52,0.4,0.333,25.0,13.0,31:31,209.0,0.0,0.0,1.0,2.0,5.0,0.0
55,Minnesota Timberwolves,Home,146,112,38,17,1,34,Regular,138.9,106.6,105.1,0.711,0.694,9.7,17.6,0.529,15.0,0.237,0.29,75.9,55.0,15.0,8.0,5.0,0.0,-4.0,0.353,0.353,0.0,0.75,17.0,6.0,38:58,11.3,0.0,1.0,4.0,0.0,6.0,0.0
56,Orlando Magic,Away,104,115,38,18,0,-11,Regular,104.8,115.9,99.2,0.55,0.524,14.5,17.9,0.531,8.7,0.286,0.393,61.5,45.3,21.0,15.0,19.0,3.0,23.0,1.0,1.0,,0.5,10.0,10.0,31:23,314.0,1.0,0.0,3.0,0.0,0.0,1.0
57,Charlotte Hornets,Away,119,105,39,18,1,14,Regular,114.0,100.6,104.4,0.559,0.53,11.6,30.4,0.518,12.5,0.172,0.232,70.0,58.0,29.0,14.0,15.0,2.0,24.0,735.0,0.706,0.333,0.8,17.0,12.0,34:46,36.1,2.0,1.0,4.0,1.0,3.0,1.0
58,Miami Heat,Away,112,108,40,18,1,4,Regular,122.5,118.1,91.5,0.678,0.651,13.6,19.4,0.506,8.4,0.197,0.368,77.3,53.4,32.0,16.0,16.0,2.0,20.0,0.583,0.542,0.333,1.0,24.0,13.0,36:49,387.0,4.0,1.0,3.0,2.0,6.0,1.0
59,Dallas Mavericks,Home,118,109,41,18,1,9,Regular,122.4,113.1,96.4,0.651,0.637,12.5,19.4,0.548,11.5,0.179,0.369,70.8,58.1,14.0,11.0,14.0,2.0,37.0,0.556,0.556,,1.0,9.0,5.0,32:19,225.0,3.0,1.0,3.0,0.0,0.0,1.0
60,Cleveland Cavaliers,Away,115,109,42,18,1,6,Regular,125.1,118.6,91.9,0.611,0.565,14.5,39.1,0.511,10.0,0.274,0.429,76.9,53.4,18.0,7.0,11.0,4.0,12.0,0.4,0.4,0.0,1.0,15.0,6.0,38:00,157.0,1.0,2.0,4.0,0.0,3.0,0.0
61,Memphis Grizzlies,Away,94,112,42,19,0,-18,Regular,96.4,114.8,97.5,0.494,0.466,13.6,22.0,0.553,10.9,0.157,0.416,61.1,49.0,35.0,7.0,10.0,3.0,16.0,0.66,0.64,0.2,1.0,25.0,16.0,38:56,299.0,0.0,1.0,1.0,1.0,5.0,0.0
62,Los Angeles Clippers,Home,134,124,43,19,1,10,Regular,121.8,112.7,99.6,0.611,0.578,12.7,25.6,0.55,11.2,0.323,0.406,71.4,56.8,25.0,5.0,16.0,7.0,-13.0,0.556,0.444,0.571,0.714,18.0,8.0,44:16,165.0,0.0,0.0,2.0,4.0,7.0,0.0
63,Houston Rockets,Away,133,112,44,19,1,21,Regular,133.2,112.2,99.9,0.671,0.663,10.0,26.8,0.541,11.4,0.174,0.402,75.5,51.8,32.0,11.0,12.0,0.0,9.0,0.579,0.579,,1.0,19.0,11.0,38:45,376.0,2.0,0.0,1.0,0.0,0.0,1.0
64,Memphis Grizzlies,Home,113,97,45,19,1,16,Regular,118.8,102.0,95.1,0.561,0.506,9.0,30.2,0.435,10.1,0.356,0.356,70.0,57.0,26.0,8.0,6.0,3.0,6.0,857.0,857.0,,1.0,14.0,12.0,32:00,28.2,1.0,2.0,1.0,0.0,0.0,0.0
65,Toronto Raptors,Home,118,113,46,19,1,5,Regular,122.7,117.5,96.2,0.614,0.576,12.7,28.6,0.558,13.7,0.267,0.384,69.8,50.0,35.0,12.0,17.0,2.0,13.0,0.558,0.538,0.333,1.0,26.0,14.0,38:06,425.0,6.0,2.0,3.0,1.0,3.0,1.0
66,Chicago Bulls,Home,96,117,46,20,0,-21,Regular,101.7,123.9,94.4,0.507,0.506,10.4,21.2,0.562,8.5,0.17,0.455,70.3,46.8,12.0,6.0,14.0,4.0,10.0,625.0,625.0,,667.0,8.0,5.0,37:37,14.2,1.0,0.0,1.0,0.0,0.0,0.0
67,San Antonio Spurs,Away,120,128,46,21,0,-8,Regular,115.8,123.5,103.7,0.607,0.561,12.4,17.8,0.612,15.8,0.222,0.389,72.7,39.8,31.0,5.0,7.0,3.0,7.0,0.711,0.684,0.333,1.0,19.0,13.0,30:54,269.0,0.0,2.0,1.0,1.0,3.0,0.0
68,Brooklyn Nets,Home,120,122,46,22,0,-2,Regular,123.1,125.2,97.5,0.597,0.567,13.0,38.5,0.601,9.6,0.267,0.344,60.0,63.6,16.0,7.0,11.0,3.0,10.0,0.375,0.375,0.0,0.8,16.0,6.0,38:31,148.0,2.0,0.0,1.0,0.0,2.0,0.0
69,Toronto Raptors,Away,110,125,46,23,0,-15,Regular,115.3,131.0,95.4,0.632,0.592,13.9,11.8,0.591,9.9,0.329,0.329,69.0,42.1,35.0,2.0,16.0,3.0,8.0,705.0,636.0,0.75,667.0,22.0,14.0,37:40,268.0,0.0,0.0,3.0,3.0,4.0,0.0
70,Detroit Pistons,Away,119,100,47,23,1,19,Regular,126.1,105.9,94.4,0.595,0.573,9.1,35.1,0.529,15.5,0.281,0.27,61.7,56.0,30.0,11.0,14.0,1.0,30.0,0.522,0.522,0.0,857.0,23.0,12.0,39:14,306.0,1.0,0.0,1.0,0.0,1.0,1.0
71,New York Knicks,Away,110,116,47,24,0,-6,Regular,118.7,125.1,92.7,0.607,0.583,12.5,17.6,0.548,11.2,0.179,0.393,69.8,43.4,,,,,,,,,,,,Inativo,,,,,,,0.0
72,Brooklyn Nets,Away,108,102,48,24,1,6,Regular,117.0,110.5,92.3,0.63,0.6,16.5,20.0,0.537,11.9,0.163,0.288,73.8,54.8,29.0,8.0,11.0,4.0,13.0,0.639,0.611,0.5,857.0,18.0,11.0,30:51,294.0,3.0,1.0,4.0,1.0,2.0,0.0
73,Washington Wizards,Away,118,104,49,24,1,14,Regular,132.9,117.1,88.8,0.64,0.596,9.8,28.9,0.529,6.9,0.253,0.386,66.7,52.6,22.0,10.0,9.0,1.0,2.0,0.594,0.563,0.2,1.0,16.0,9.0,41:32,250.0,2.0,1.0,2.0,1.0,5.0,0.0
74,Milwaukee Bucks,Home,129,106,50,24,1,23,Regular,124.9,102.6,103.3,0.637,0.612,10.6,16.3,0.494,9.3,0.315,0.404,59.6,54.5,32.0,5.0,10.0,4.0,-9.0,0.458,0.458,0.0,769.0,24.0,11.0,36:58,23.2,2.0,1.0,2.0,0.0,3.0,0.0
75,Philadelphia 76ers,Home,116,111,51,24,1,5,Regular,121.8,116.5,95.2,0.613,0.571,11.2,25.6,0.528,10.0,0.259,0.376,79.1,51.2,26.0,16.0,18.0,3.0,37.0,0.639,0.611,0.5,0.6,18.0,11.0,34:38,324.0,1.0,0.0,2.0,1.0,2.0,1.0
76,Pelicanos de Nova Orleans,Home,88,107,51,25,0,-19,Regular,96.5,117.4,91.2,0.468,0.425,9.6,22.4,0.556,11.8,0.4,0.35,65.6,46.5,42.0,6.0,16.0,4.0,5.0,0.578,0.563,0.167,833.0,32.0,18.0,37:35,346.0,1.0,2.0,2.0,1.0,6.0,0.0
77,Phoenix Suns,Away,93,100,51,26,0,-7,Regular,95.6,102.7,97.3,0.448,0.432,9.6,28.3,0.477,14.1,0.211,0.274,50.0,50.0,36.0,10.0,17.0,5.0,12.0,646.0,0.583,0.375,833.0,24.0,14.0,40:06,31.1,0.0,0.0,2.0,3.0,8.0,1.0
78,Golden State Warriors,Home,112,110,52,26,1,2,Regular,112.6,110.6,99.4,0.519,0.485,10.8,32.7,0.443,11.8,0.18,0.33,54.5,45.2,19.0,11.0,14.0,4.0,19.0,0.538,0.462,667.0,833.0,13.0,6.0,30:40,218.0,2.0,0.0,1.0,2.0,3.0,1.0
79,Houston Rockets,Away,103,124,52,27,0,-21,Regular,101.1,121.8,101.8,0.543,0.534,17.4,27.1,0.52,10.4,0.207,0.414,63.4,46.1,28.0,7.0,13.0,5.0,23.0,0.65,0.6,1.0,1.0,20.0,12.0,34:04,275.0,3.0,1.0,2.0,2.0,2.0,0.0
80,Phoenix Suns,Away,115,119,52,28,0,-4,Regular,123.9,128.3,92.8,0.617,0.578,12.3,25.7,0.627,10.0,0.277,0.277,54.5,53.5,41.0,7.0,11.0,2.0,6.0,0.85,0.8,1.0,0.583,20.0,16.0,38:25,394.0,3.0,0.0,5.0,2.0,2.0,0.0
81,Utah Jazz,Away,114,118,52,29,0,-4,Regular,106.5,110.3,107.0,0.567,0.539,12.2,10.6,0.495,12.7,0.267,0.511,78.0,41.0,22.0,12.0,7.0,3.0,-1.0,0.731,0.692,0.5,1.0,13.0,9.0,38:33,25.5,2.0,1.0,5.0,1.0,2.0,0.0
82,Sacramento Kings,Home,109,95,53,29,1,14,Regular,113.8,99.2,95.8,0.574,0.542,17.4,38.5,0.5,14.1,0.298,0.333,59.5,60.0,15.0,5.0,15.0,4.0,19.0,0.636,0.636,,0.5,11.0,7.0,30:47,18.9,4.0,0.0,1.0,0.0,0.0,0.0
1,Minnesota Timberwolves,Home,109,80,1,0,1,29,Playoffs,1157.0,849.0,942.0,0.559,0.544,10.1,250.0,0.438,12.0,0.189,0.433,585.0,587.0,32.0,7.0,12.0,0.0,14.0,674.0,0.652,0.333,0.5,23.0,15.0,39:23,320.0,2.0,0.0,3.0,1.0,3.0,0.0
2,Minnesota Timberwolves,Home,122,113,2,0,1,9,Playoffs,1319.0,122.1,925.0,635.0,0.6,94.0,257.0,0.595,12.7,0.294,0.259,565.0,507.0,27.0,10.0,20.0,3.0,1.0,625.0,0.563,0.5,1.0,16.0,9.0,41:24,322.0,2.0,0.0,2.0,2.0,4.0,1.0
